time,0_y,13_y,14_y,17_y,37_y
11.92,316,325,326,339,315
11.96,316,325,326,339,315
12.0,316,325,326,338,315
12.04,315,324,325,338,314
12.08,314,323,324,337,313
12.12,313,323,323,336,313
12.16,313,322,323,336,312
12.2,312,321,322,334,311
12.24,311,320,321,334,310
12.28,311,320,321,334,310
12.32,311,320,321,334,310
12.36,311,320,321,334,310
12.4,311,320,321,334,310
12.44,311,320,321,334,310
12.48,311,320,321,334,310
12.52,311,320,321,334,310
12.56,312,321,322,335,311
12.6,312,321,322,335,311
12.64,313,322,323,336,312
12.68,313,322,323,336,312
12.72,313,322,323,336,312
12.76,313,322,323,336,312
12.8,312,321,322,335,311
12.84,311,320,321,334,310
12.88,309,318,320,333,308
12.92,307,317,318,331,306
12.96,305,315,316,330,304
13.0,304,314,315,328,303
13.04,303,313,315,328,303
13.08,303,313,315,328,302
13.12,302,312,316,330,301
13.16,301,311,321,336,300
13.2,302,312,324,340,301
13.24,303,314,325,341,302
13.28,305,316,325,341,304
13.32,307,317,323,339,305
13.36,308,318,323,338,307
13.4,311,321,326,340,310
13.44,313,323,328,342,312
13.48,316,325,330,345,314
13.52,318,327,332,347,316
13.56,320,329,334,349,318
13.6,321,330,336,350,320
13.64,322,331,336,351,320
13.68,322,332,338,352,321
13.72,323,332,338,352,321
13.76,323,333,339,354,322
13.8,324,333,340,354,322
13.84,324,333,340,355,323
13.88,324,333,340,355,322
13.92,325,335,340,355,323
13.96,325,335,343,359,323
14.0,325,336,350,366,324
14.04,325,335,348,365,324
14.08,326,336,342,358,324
14.12,327,337,338,353,325
14.16,327,337,338,352,326
14.2,326,335,337,351,325
14.24,323,333,338,353,322
14.28,322,332,338,354,321
14.32,321,331,337,352,320
14.36,320,330,334,349,319
14.4,317,327,332,347,316
14.44,315,325,330,344,315
14.48,314,324,328,342,313
14.52,313,323,329,344,313
14.56,313,324,336,352,313
14.6,316,327,340,356,316
14.64,317,328,339,355,316
14.68,318,328,340,356,317
14.72,319,329,335,350,318
14.76,317,327,334,350,316
14.8,316,326,339,354,315
14.84,317,327,341,357,316
14.88,320,330,336,351,319
14.92,321,330,331,345,320
14.96,321,330,331,344,320
15.0,321,330,331,345,320
15.04,320,330,334,350,319
15.08,320,330,342,358,319
15.12,319,329,341,356,318
15.16,318,328,338,354,317
15.2,317,327,336,352,316
15.24,316,326,338,353,315
15.28,316,326,340,356,315
15.32,317,327,340,356,315
15.36,317,327,338,354,315
15.4,317,327,335,351,316
15.44,316,326,334,350,315
15.48,316,326,335,351,315
15.52,317,327,337,353,316
15.56,318,328,338,354,316
15.6,318,328,339,354,317
15.64,319,329,338,354,317
15.68,318,328,340,356,317
15.72,320,330,341,357,319
15.76,322,331,343,358,320
15.8,320,330,342,357,319
15.84,322,331,337,352,320
15.88,321,330,334,348,320
15.92,321,329,333,347,319
15.96,321,329,332,346,319
16.0,322,330,332,346,320
16.04,322,330,331,344,320
16.08,322,330,331,344,320
16.12,321,330,331,344,320
16.16,321,329,330,343,319
16.2,320,328,329,342,319
16.24,320,328,329,342,318
16.28,319,327,328,341,318
16.32,318,327,327,340,317
16.36,318,326,327,340,317
16.4,318,326,326,339,316
16.44,318,326,326,339,316
16.48,317,326,326,339,316
16.52,317,326,326,339,316
16.56,317,326,326,339,316
16.6,317,325,326,339,315
16.64,316,325,325,338,315
16.68,315,324,325,338,314
16.72,315,324,325,338,314
16.76,314,324,324,338,313
16.8,313,323,324,337,312
16.84,312,321,323,336,311
16.88,311,321,322,335,310
16.92,311,320,321,335,310
16.96,311,320,321,335,310
17.0,311,320,321,334,310
17.04,311,320,321,334,310
17.08,311,320,321,334,310
17.12,310,319,321,334,309
17.16,309,319,320,333,308
17.2,309,318,320,333,308
17.24,308,318,319,332,307
17.28,308,317,318,332,307
17.32,307,317,318,331,306
17.36,307,317,318,331,306
17.4,307,316,317,331,306
17.44,306,316,317,330,305
17.48,306,316,317,330,305
17.52,306,316,317,331,305
17.56,306,316,317,331,305
17.6,306,316,317,331,305
17.64,307,317,318,331,306
17.68,307,317,319,332,306
17.72,308,318,320,334,307
17.76,308,319,325,340,307
17.8,307,318,333,349,307
17.84,308,319,334,350,308
17.88,309,320,332,348,308
17.92,311,322,329,345,310
17.96,311,321,325,340,310
18.0,312,322,325,339,311
18.04,312,322,326,340,311
18.08,314,323,327,341,313
18.12,316,325,329,343,315
18.16,317,327,332,347,316
18.2,320,329,336,351,319
18.24,320,330,336,351,319
18.28,321,330,333,348,320
18.32,321,331,334,349,320
18.36,323,333,334,348,322
18.4,324,333,334,348,323
18.44,323,333,334,348,322
18.48,323,332,333,347,322
18.52,320,330,333,348,319
18.56,319,329,334,349,318
18.6,320,330,334,348,319
18.64,322,331,332,346,320
18.68,320,330,331,345,319
18.72,320,330,331,345,319
18.76,322,332,334,348,321
18.8,322,333,337,351,321
18.84,324,334,339,354,323
18.88,325,335,341,356,323
18.92,323,333,341,357,322
18.96,322,332,340,356,321
19.0,320,330,337,353,319
19.04,318,328,334,349,317
19.08,320,330,335,350,319
19.12,322,332,338,353,320
19.16,322,332,338,353,321
19.2,323,332,337,352,321
19.24,320,330,338,353,319
19.28,318,328,336,351,316
19.32,316,325,330,344,314
19.36,312,321,323,337,311
19.4,307,316,319,332,305
19.44,303,313,316,330,302
19.48,301,311,317,332,299
19.52,299,310,315,330,298
19.56,298,309,314,329,296
19.6,296,307,315,331,295
19.64,296,308,316,331,295
19.68,298,308,315,330,296
19.72,299,310,315,330,298
19.76,304,315,320,335,302
19.8,308,319,325,341,307
19.84,313,325,329,345,312
19.88,320,330,332,347,318
19.92,324,334,336,350,323
19.96,327,337,338,353,325
20.0,327,337,340,355,325
20.04,325,336,343,359,324
20.08,324,334,343,359,322
20.12,324,334,344,360,322
20.16,324,335,347,363,323
20.2,325,336,347,363,324
20.24,327,337,349,364,325
20.28,328,339,349,364,327
20.32,329,339,348,364,328
20.36,330,340,345,361,328
20.4,330,339,342,357,328
20.44,330,339,341,355,329
20.48,332,341,343,357,330
20.52,333,342,347,362,331
20.56,333,342,348,363,331
20.6,332,341,346,361,330
20.64,331,340,343,358,329
20.68,330,339,343,359,328
20.72,330,339,345,361,328
20.76,330,340,344,360,328
20.8,330,340,345,360,329
20.84,330,339,347,363,328
20.88,329,339,351,367,327
20.92,329,339,350,366,327
20.96,330,340,344,359,328
21.0,330,340,342,356,329
21.04,330,339,342,356,328
21.08,329,339,342,356,328
21.12,329,338,341,356,327
21.16,329,338,339,353,327
21.2,329,338,339,353,328
21.24,329,338,338,352,328
21.28,329,337,338,351,327
21.32,328,337,337,350,327
21.36,328,337,337,350,327
21.4,328,336,337,350,327
21.44,328,336,337,350,326
21.48,328,336,337,350,326
21.52,328,336,336,349,326
21.56,327,335,336,349,326
21.6,327,335,336,349,325
21.64,327,335,336,349,325
21.68,326,335,336,349,325
21.72,327,335,336,349,325
21.76,326,335,335,348,325
21.8,326,334,335,348,325
21.84,325,334,335,348,324
21.88,325,334,334,347,324
21.92,325,333,334,347,323
21.96,324,333,334,347,323
