time,14_x,14_y
6.6,632,334
6.64,632,334
6.68,632,334
6.72,632,334
6.76,632,334
6.8,632,333
6.84,633,333
6.88,633,333
6.92,632,333
6.96,633,332
7.0,633,332
7.04,633,332
7.08,634,332
7.12,634,331
7.16,635,331
7.2,635,331
7.24,636,331
7.28,636,331
7.32,636,330
7.36,637,330
7.4,637,330
7.44,637,330
7.48,637,329
7.52,637,329
7.56,638,329
7.6,638,329
7.64,638,329
7.68,638,329
7.72,638,328
7.76,637,328
7.8,637,328
7.84,637,328
7.88,637,328
7.92,637,328
7.96,637,328
8.0,637,329
8.04,636,328
8.08,635,328
8.12,635,328
8.16,635,328
8.2,635,327
8.24,635,327
8.28,634,327
8.32,634,327
8.36,635,327
8.4,635,327
8.44,635,327
8.48,635,327
8.52,635,327
8.56,635,327
8.6,635,327
8.64,635,327
8.68,635,327
8.72,635,327
8.76,635,327
8.8,635,327
8.84,635,326
8.88,635,326
8.92,635,326
8.96,635,326
9.0,635,326
9.04,636,326
9.08,636,326
9.12,636,326
9.16,635,326
9.2,636,325
9.24,637,326
9.28,637,327
9.32,636,328
9.36,636,328
9.4,636,327
9.44,635,326
9.48,636,328
9.52,636,332
9.56,636,335
9.6,635,333
9.64,635,334
9.68,636,337
9.72,636,341
9.76,636,342
9.8,636,341
9.84,636,338
9.88,636,334
9.92,634,331
9.96,634,330
10.0,633,332
10.04,633,335
10.08,633,338
10.12,633,336
10.16,632,335
10.2,632,336
10.24,633,336
10.28,633,337
10.32,633,337
10.36,633,338
10.4,634,338
10.44,634,339
10.48,634,338
10.52,634,338
10.56,633,337
10.6,633,335
10.64,633,334
10.68,633,333
10.72,633,332
10.76,633,331
10.8,634,331
10.84,634,330
10.88,634,330
10.92,634,329
10.96,634,329
11.0,634,329
11.04,634,329
11.08,634,329
11.12,634,329
11.16,635,328
11.2,636,328
11.24,636,327
11.28,636,327
11.32,636,327
11.36,636,327
11.4,636,326
11.44,636,326
11.48,638,326
11.52,637,326
11.56,637,326
11.6,637,326
11.64,637,326
11.68,637,326
11.72,637,326
11.76,637,327
11.8,637,327
11.84,636,326
11.88,636,326
11.92,636,326
11.96,635,326
12.0,635,326
12.04,635,325
12.08,635,324
12.12,634,323
12.16,634,323
12.2,634,322
12.24,634,321
12.28,634,321
12.32,634,321
12.36,634,321
12.4,634,321
12.44,634,321
12.48,634,321
12.52,634,321
12.56,634,322
12.6,635,322
12.64,635,323
12.68,636,323
12.72,637,323
12.76,637,323
12.8,638,322
12.84,638,321
12.88,638,320
12.92,638,318
12.96,636,316
13.0,635,315
13.04,633,315
13.08,632,315
13.12,631,316
13.16,631,321
13.2,631,324
13.24,630,325
13.28,630,325
13.32,629,323
13.36,628,323
13.4,627,326
13.44,627,328
13.48,627,330
13.52,626,332
13.56,627,334
13.6,628,336
13.64,628,336
13.68,629,338
13.72,629,338
13.76,629,339
13.8,628,340
13.84,629,340
13.88,628,340
13.92,627,340
13.96,627,343
14.0,629,350
14.04,631,348
14.08,632,342
14.12,634,338
14.16,636,338
14.2,638,337
14.24,640,338
14.28,642,338
14.32,644,337
14.36,644,334
14.4,645,332
14.44,645,330
14.48,645,328
14.52,646,329
14.56,645,336
14.6,644,340
14.64,642,339
14.68,641,340
14.72,639,335
14.76,640,334
14.8,640,339
14.84,639,341
14.88,637,336
14.92,638,331
14.96,636,331
15.0,635,331
15.04,634,334
15.08,636,342
15.12,635,341
15.16,635,338
15.2,635,336
15.24,635,338
15.28,636,340
15.32,635,340
15.36,634,338
15.4,634,335
15.44,634,334
15.48,634,335
15.52,634,337
15.56,634,338
15.6,635,339
15.64,633,338
15.68,634,340
15.72,634,341
15.76,635,343
15.8,635,342
15.84,636,337
15.88,636,334
15.92,635,333
15.96,635,332
16.0,635,332
16.04,635,331
16.08,634,331
16.12,634,331
16.16,634,330
16.2,633,329
16.24,633,329
16.28,633,328
16.32,633,327
16.36,633,327
16.4,633,326
16.44,633,326
16.48,633,326
16.52,633,326
16.56,633,326
16.6,634,326
16.64,633,325
16.68,634,325
16.72,634,325
16.76,634,324
16.8,634,324
16.84,634,323
16.88,634,322
16.92,633,321
16.96,633,321
17.0,633,321
17.04,633,321
17.08,633,321
17.12,633,321
17.16,633,320
17.2,632,320
17.24,632,319
17.28,632,318
17.32,632,318
17.36,632,318
17.4,632,317
17.44,632,317
17.48,632,317
17.52,632,317
17.56,632,317
17.6,632,317
17.64,633,318
17.68,633,319
17.72,633,320
17.76,633,325
17.8,635,333
17.84,636,334
17.88,637,332
17.92,638,329
17.96,639,325
18.0,639,325
18.04,638,326
18.08,637,327
18.12,637,329
18.16,637,332
18.2,637,336
18.24,637,336
18.28,638,333
18.32,637,334
18.36,637,334
18.4,638,334
18.44,638,334
18.48,637,333
18.52,636,333
18.56,635,334
18.6,635,334
18.64,635,332
18.68,635,331
18.72,634,331
18.76,634,334
18.8,633,337
18.84,632,339
18.88,631,341
18.92,630,341
18.96,630,340
19.0,630,337
19.04,631,334
19.08,628,335
19.12,627,338
19.16,627,338
19.2,627,337
19.24,627,338
19.28,627,336
19.32,627,330
19.36,626,323
19.4,626,319
19.44,626,316
19.48,625,317
19.52,625,315
19.56,622,314
19.6,622,315
19.64,620,316
19.68,621,315
19.72,622,315
19.76,623,320
19.8,625,325
19.84,625,329
19.88,624,332
19.92,623,336
19.96,623,338
20.0,623,340
20.04,623,343
20.08,623,343
20.12,624,344
20.16,625,347
20.2,625,347
20.24,625,349
20.28,626,349
20.32,626,348
20.36,627,345
20.4,629,342
20.44,629,341
20.48,629,343
20.52,630,347
20.56,630,348
20.6,631,346
20.64,630,343
20.68,630,343
20.72,629,345
20.76,629,344
20.8,628,345
20.84,629,347
20.88,629,351
20.92,630,350
20.96,630,344
21.0,629,342
21.04,630,342
21.08,630,342
21.12,630,341
21.16,630,339
21.2,630,339
21.24,630,338
21.28,630,338
21.32,630,337
21.36,630,337
21.4,630,337
21.44,630,337
21.48,630,337
21.52,631,336
21.56,631,336
21.6,632,336
21.64,632,336
21.68,632,336
21.72,632,336
21.76,632,335
21.8,631,335
21.84,631,335
21.88,631,334
21.92,631,334
21.96,631,334
22.0,631,334
22.04,630,333
22.08,630,333
22.12,630,332
22.16,630,332
22.2,630,332
22.24,630,331
22.28,630,330
22.32,630,330
22.36,630,329
22.4,630,327
22.44,630,325
22.48,629,323
22.52,630,323
22.56,632,322
22.6,634,323
22.64,637,323
22.68,640,325
22.72,643,328
22.76,644,330
22.8,642,331
22.84,641,331
22.88,639,332
22.92,637,332
22.96,635,332
23.0,633,330
23.04,631,331
23.08,629,332
23.12,630,334
23.16,629,335
23.2,631,336
23.24,630,338
23.28,629,339
23.32,629,349
23.36,629,347
23.4,626,342
23.44,627,340
23.48,627,338
23.52,628,340
23.56,630,343
23.6,632,344
23.64,634,343
23.68,635,343
23.72,635,345
23.76,635,344
23.8,635,343
23.84,634,343
23.88,632,343
23.92,632,344
23.96,630,345
24.0,628,346
24.04,628,342
24.08,627,341
24.12,627,341
24.16,627,343
24.2,628,342
24.24,628,338
24.28,628,335
24.32,627,334
24.36,627,331
24.4,628,328
24.44,628,327
24.48,630,327
24.52,632,327
24.56,634,329
24.6,636,330
24.64,636,331
24.68,636,334
