time,0_x,13_x,14_x,17_x,37_x
4.44,638,639,639,640,629
4.48,638,639,639,640,629
4.52,638,639,639,640,629
4.56,638,639,639,640,629
4.6,638,638,639,640,629
4.64,638,638,639,640,629
4.68,638,639,639,640,629
4.72,638,638,639,640,629
4.76,638,639,639,640,629
4.8,638,639,639,640,629
4.84,638,638,639,640,629
4.88,638,638,639,640,629
4.92,638,638,639,640,629
4.96,637,638,638,639,628
5.0,637,638,638,639,628
5.04,637,638,638,639,628
5.08,637,637,638,639,628
5.12,637,637,638,639,628
5.16,636,637,637,638,627
5.2,636,637,637,638,627
5.24,636,637,637,638,627
5.28,636,637,637,638,627
5.32,636,637,637,638,627
5.36,636,637,637,638,627
5.4,636,637,637,638,627
5.44,636,637,637,638,628
5.48,636,637,637,638,628
5.52,636,637,637,638,628
5.56,636,637,637,638,628
5.6,636,637,637,638,627
5.64,636,637,637,638,627
5.68,636,637,637,638,627
5.72,636,637,637,638,627
5.76,636,637,637,638,627
5.8,636,637,637,638,627
5.84,636,637,637,638,627
5.88,636,636,637,638,627
5.92,635,636,636,638,627
5.96,635,636,636,637,626
6.0,635,635,636,637,626
6.04,635,636,636,637,626
6.08,635,636,636,638,626
6.12,636,637,637,638,627
6.16,636,637,637,639,627
6.2,636,637,637,638,627
6.24,636,636,637,638,627
6.28,635,636,636,637,626
6.32,634,634,635,636,625
6.36,633,634,634,635,624
6.4,633,634,634,635,624
6.44,632,633,634,635,623
6.48,632,633,633,634,622
6.52,631,632,632,633,622
6.56,631,632,632,633,622
6.6,631,632,632,633,622
6.64,631,632,632,633,622
6.68,631,632,632,633,622
6.72,631,632,632,633,621
6.76,631,632,632,633,622
6.8,631,632,632,633,622
6.84,632,632,633,634,622
6.88,632,633,633,634,623
6.92,631,632,632,633,622
6.96,632,633,633,634,623
7.0,632,633,633,634,623
7.04,632,633,633,634,623
7.08,633,634,634,635,624
7.12,634,634,634,635,625
7.16,634,634,635,636,625
7.2,634,635,635,636,625
7.24,635,635,636,636,626
7.28,635,635,636,637,626
7.32,636,636,636,637,627
7.36,636,636,637,637,627
7.4,636,636,637,638,627
7.44,636,637,637,638,627
7.48,637,637,637,638,628
7.52,637,637,637,638,628
7.56,637,637,638,638,628
7.6,637,637,638,638,628
7.64,637,637,638,638,628
7.68,637,637,638,638,628
7.72,637,637,638,638,628
7.76,637,637,637,638,628
7.8,637,637,637,638,628
7.84,636,637,637,638,627
7.88,636,637,637,638,627
7.92,636,637,637,638,627
7.96,636,636,637,638,627
8.0,636,636,637,638,627
8.04,635,636,636,637,626
8.08,634,635,635,636,626
8.12,634,635,635,636,625
8.16,634,635,635,636,625
8.2,634,635,635,636,625
8.24,634,634,635,635,625
8.28,634,634,634,635,625
8.32,634,634,634,635,625
8.36,634,634,635,635,625
8.4,634,634,635,635,625
8.44,634,634,635,635,625
8.48,634,634,635,635,625
8.52,634,635,635,636,625
8.56,634,634,635,636,625
8.6,634,635,635,636,625
8.64,634,634,635,635,625
8.68,634,634,635,635,625
8.72,634,635,635,636,625
8.76,634,635,635,636,625
8.8,634,635,635,636,625
8.84,634,635,635,636,625
8.88,634,635,635,636,625
8.92,634,635,635,636,625
8.96,635,635,635,636,626
9.0,635,635,635,636,626
9.04,635,635,636,636,626
9.08,635,635,636,636,626
9.12,635,635,636,637,626
9.16,635,635,635,636,626
9.2,635,636,636,637,626
9.24,636,636,637,637,626
9.28,636,636,637,638,626
9.32,635,636,636,637,626
9.36,635,636,636,637,626
9.4,635,635,636,637,625
9.44,634,635,635,636,625
9.48,635,635,636,637,625
9.52,635,635,636,637,625
9.56,634,635,636,637,625
9.6,634,634,635,636,625
9.64,634,634,635,636,625
9.68,635,635,636,636,625
9.72,635,635,636,637,625
9.76,635,635,636,637,625
9.8,635,635,636,637,625
9.84,635,635,636,636,625
9.88,635,635,636,636,625
9.92,633,634,634,635,624
9.96,633,633,634,634,623
10.0,632,633,633,634,623
10.04,632,633,633,634,623
10.08,632,632,633,634,622
10.12,632,632,633,633,622
10.16,631,632,632,633,622
10.2,631,632,632,633,622
10.24,632,632,633,634,622
10.28,631,632,633,634,622
10.32,632,633,633,634,622
10.36,632,632,633,634,622
10.4,632,633,634,634,623
10.44,632,633,634,634,623
10.48,632,633,634,635,623
10.52,632,633,634,634,623
10.56,632,632,633,634,623
10.6,632,633,633,634,623
10.64,632,632,633,633,623
10.68,632,632,633,633,623
10.72,632,633,633,634,623
10.76,632,633,633,633,623
10.8,633,633,634,634,623
10.84,633,634,634,635,624
10.88,633,633,634,634,623
10.92,633,633,634,634,623
10.96,633,633,634,634,623
11.0,633,634,634,635,623
11.04,633,634,634,635,623
11.08,633,634,634,635,624
11.12,633,634,634,635,624
11.16,634,635,635,636,625
11.2,635,635,636,636,626
11.24,635,636,636,636,626
11.28,635,636,636,637,626
11.32,635,635,636,636,626
11.36,635,635,636,636,626
11.4,635,636,636,637,626
11.44,636,636,636,637,627
11.48,637,637,638,638,628
11.52,637,637,637,638,628
11.56,637,637,637,638,628
11.6,637,637,637,638,628
11.64,637,637,637,638,628
11.68,637,637,637,638,628
11.72,637,637,637,638,628
11.76,636,637,637,638,627
11.8,636,636,637,637,627
11.84,636,636,636,637,627
11.88,635,636,636,637,626
11.92,635,635,636,636,626
11.96,634,635,635,636,625
12.0,634,635,635,636,625
12.04,634,634,635,635,625
12.08,634,634,635,635,625
12.12,633,634,634,635,625
12.16,633,634,634,635,625
12.2,633,634,634,635,624
12.24,633,634,634,635,624
12.28,633,634,634,635,624
12.32,633,633,634,634,624
12.36,633,634,634,635,624
12.4,633,633,634,634,624
12.44,633,633,634,634,624
12.48,633,634,634,635,624
12.52,633,634,634,635,624
12.56,633,634,634,635,624
12.6,634,634,635,635,625
12.64,634,635,635,636,626
12.68,635,636,636,637,626
12.72,636,636,637,637,627
12.76,636,637,637,638,627
12.8,637,637,638,638,628
12.84,637,638,638,639,628
12.88,637,638,638,639,628
12.92,637,638,638,639,628
12.96,635,636,636,637,627
13.0,634,635,635,636,626
13.04,632,633,633,633,623
13.08,631,631,632,632,622
13.12,630,631,631,632,622
13.16,630,630,631,631,621
13.2,630,630,631,632,621
13.24,629,629,630,630,620
13.28,629,629,630,631,620
13.32,628,628,629,629,619
13.36,627,627,628,628,619
13.4,626,627,627,627,618
13.44,626,626,627,627,618
13.48,626,626,627,627,618
13.52,626,626,626,626,617
13.56,627,627,627,627,619
13.6,627,627,628,628,619
13.64,628,628,628,628,619
13.68,628,628,629,629,620
13.72,628,628,629,629,620
13.76,628,628,629,629,620
13.8,627,628,628,628,619
13.84,628,628,629,629,619
13.88,627,628,628,628,619
13.92,626,627,627,627,618
13.96,626,627,627,627,618
14.0,628,629,629,629,619
14.04,630,631,631,632,620
14.08,630,631,632,632,621
14.12,633,633,634,634,623
14.16,635,635,636,636,626
14.2,637,638,638,638,628
14.24,639,639,640,640,630
14.28,641,641,642,642,632
14.32,643,643,644,644,634
14.36,643,643,644,644,634
14.4,644,644,645,645,635
14.44,644,644,645,646,635
14.48,645,645,645,646,636
14.52,645,645,646,646,636
14.56,644,644,645,646,635
14.6,643,643,644,645,634
14.64,641,642,642,643,632
14.68,640,641,641,642,630
14.72,638,638,639,639,628
14.76,639,639,640,640,630
14.8,640,640,640,641,629
14.84,638,638,639,639,628
14.88,637,637,637,638,627
14.92,637,637,638,638,627
14.96,636,636,636,637,626
15.0,635,635,635,636,625
15.04,634,634,634,635,624
15.08,634,635,636,636,625
15.12,634,634,635,635,624
15.16,634,635,635,636,624
15.2,635,635,635,636,625
15.24,634,635,635,636,624
15.28,635,635,636,636,624
15.32,634,634,635,636,624
15.36,633,634,634,635,624
15.4,633,634,634,635,624
15.44,633,633,634,634,624
15.48,633,633,634,635,624
15.52,633,634,634,635,624
15.56,634,634,634,635,624
15.6,634,634,635,635,624
15.64,633,633,633,634,624
15.68,633,633,634,634,624
15.72,634,634,634,635,624
15.76,634,634,635,635,625
15.8,634,634,635,635,624
15.84,635,635,636,636,625
15.88,635,635,636,636,625
15.92,634,635,635,636,625
15.96,634,635,635,636,625
16.0,634,635,635,636,625
16.04,635,635,635,636,625
16.08,634,634,634,635,624
16.12,633,634,634,635,624
16.16,633,633,634,634,623
16.2,632,633,633,634,623
16.24,632,633,633,633,623
16.28,632,632,633,633,623
16.32,632,633,633,633,623
16.36,632,633,633,633,623
16.4,632,633,633,634,623
16.44,632,633,633,634,623
16.48,632,633,633,633,623
16.52,632,632,633,633,623
16.56,633,633,633,634,623
16.6,633,633,634,634,624
16.64,633,633,633,634,624
16.68,633,634,634,634,624
16.72,633,634,634,634,624
16.76,634,634,634,635,625
16.8,633,633,634,634,624
16.84,633,633,634,634,624
16.88,633,633,634,634,624
16.92,632,633,633,634,623
16.96,632,633,633,634,623
17.0,632,633,633,633,623
17.04,632,633,633,633,623
17.08,632,633,633,633,623
17.12,632,632,633,633,623
17.16,632,632,633,633,623
17.2,632,632,632,633,622
17.24,631,632,632,633,622
17.28,631,632,632,633,622
17.32,631,631,632,632,622
17.36,631,631,632,632,621
17.4,631,631,632,632,622
17.44,631,632,632,633,622
17.48,631,632,632,633,622
17.52,631,632,632,633,622
17.56,631,632,632,633,622
17.6,632,632,632,633,622
17.64,632,633,633,634,623
17.68,632,632,633,633,623
17.72,632,632,633,633,623
17.76,632,633,633,634,623
17.8,634,634,635,635,624
17.84,635,636,636,637,626
17.88,636,637,637,638,626
17.92,637,637,638,639,627
17.96,638,638,639,640,628
18.0,638,639,639,640,628
18.04,637,637,638,639,627
18.08,636,637,637,638,626
18.12,636,637,637,638,626
18.16,636,637,637,638,626
18.2,636,636,637,638,626
18.24,636,637,637,638,626
18.28,637,637,638,639,627
18.32,636,637,637,638,626
18.36,636,637,637,638,627
18.4,637,637,638,638,628
18.44,637,637,638,639,628
18.48,636,637,637,638,627
18.52,635,635,636,636,626
18.56,635,635,635,636,626
18.6,634,635,635,636,625
18.64,634,635,635,635,625
18.68,634,634,635,635,625
18.72,633,634,634,634,624
18.76,633,633,634,634,624
18.8,632,632,633,633,624
18.84,631,631,632,632,622
18.88,630,631,631,631,622
18.92,629,629,630,630,620
18.96,629,629,630,630,620
19.0,629,630,630,631,621
19.04,630,630,631,631,621
19.08,627,628,628,629,619
19.12,626,627,627,628,617
19.16,626,627,627,627,617
19.2,626,627,627,628,617
19.24,626,627,627,628,617
19.28,627,627,627,628,617
19.32,626,627,627,627,617
19.36,625,626,626,627,616
19.4,625,626,626,626,616
19.44,625,625,626,626,615
19.48,624,625,625,626,615
19.52,623,624,625,625,614
19.56,621,622,622,623,612
19.6,620,621,622,622,611
19.64,619,620,620,621,610
19.68,620,621,621,621,610
19.72,621,621,622,622,611
19.76,622,623,623,624,612
19.8,623,624,625,625,614
19.84,624,624,625,625,614
19.88,623,623,624,624,614
19.92,622,623,623,623,614
19.96,622,622,623,622,613
20.0,622,622,623,623,614
20.04,622,622,623,623,613
20.08,623,623,623,623,614
20.12,623,624,624,624,614
20.16,625,625,625,625,615
20.2,624,625,625,625,615
20.24,625,625,625,625,615
20.28,625,626,626,626,616
20.32,626,626,626,626,616
20.36,627,627,627,628,618
20.4,628,628,629,629,619
20.44,628,628,629,629,619
20.48,629,629,629,630,619
20.52,629,630,630,630,620
20.56,629,630,630,631,620
20.6,630,630,631,631,620
20.64,629,629,630,630,619
20.68,629,630,630,630,620
20.72,628,629,629,630,619
20.76,628,628,629,629,619
20.8,627,627,628,628,618
20.84,628,628,629,629,619
20.88,628,629,629,629,619
20.92,629,629,630,630,619
20.96,629,629,630,630,620
21.0,629,629,629,630,619
21.04,629,629,630,630,620
21.08,629,630,630,630,620
21.12,629,630,630,631,620
21.16,629,630,630,631,620
21.2,629,629,630,630,620
21.24,629,630,630,631,620
21.28,629,630,630,631,620
21.32,629,630,630,631,620
21.36,629,630,630,630,619
21.4,629,630,630,630,620
21.44,629,629,630,630,619
21.48,629,630,630,630,620
21.52,630,630,631,631,620
21.56,630,631,631,632,621
21.6,631,631,632,632,622
21.64,631,632,632,632,622
21.68,631,631,632,632,622
21.72,631,631,632,632,622
21.76,631,631,632,632,622
21.8,631,631,631,632,622
21.84,630,631,631,632,621
21.88,630,631,631,632,621
21.92,630,631,631,631,621
21.96,630,630,631,631,621
22.0,630,630,631,631,620
22.04,629,630,630,631,620
22.08,629,630,630,631,620
22.12,629,630,630,630,620
22.16,629,630,630,630,620
22.2,629,629,630,630,620
22.24,629,630,630,631,620
22.28,629,630,630,631,620
22.32,629,630,630,631,620
22.36,629,630,630,631,620
22.4,629,630,630,631,620
22.44,629,629,630,630,619
22.48,628,629,629,630,619
22.52,629,629,630,631,620
22.56,631,631,632,632,622
22.6,633,634,634,635,624
22.64,637,637,637,638,628
22.68,639,640,640,641,630
22.72,642,642,643,644,633
22.76,642,643,644,645,633
22.8,641,641,642,644,632
22.84,639,640,641,642,631
22.88,638,638,639,640,629
22.92,636,637,637,638,627
22.96,634,634,635,636,625
23.0,632,633,633,634,623
23.04,630,630,631,631,621
23.08,629,629,629,630,619
23.12,629,629,630,630,619
23.16,628,629,629,630,618
23.2,629,630,631,632,619
23.24,629,629,630,631,618
23.28,627,628,629,630,617
23.32,627,628,629,630,616
23.36,627,628,629,630,617
23.4,625,626,626,627,616
23.44,626,626,627,627,616
23.48,626,626,627,627,617
23.52,627,628,628,628,618
23.56,629,629,630,630,619
23.6,631,631,632,632,621
23.64,633,633,634,635,623
23.68,634,634,635,635,624
23.72,634,635,635,636,625
23.76,634,634,635,636,624
23.8,634,634,635,636,624
23.84,633,634,634,635,624
23.88,631,632,632,632,622
23.92,631,631,632,632,622
23.96,629,630,630,630,620
24.0,628,628,628,628,618
24.04,627,628,628,629,618
24.08,626,627,627,627,617
24.12,626,626,627,627,616
24.16,627,627,627,628,617
24.2,628,628,628,629,618
24.24,627,628,628,629,617
24.28,627,627,628,628,617
24.32,626,627,627,628,617
24.36,626,627,627,627,616
24.4,626,627,628,628,616
24.44,627,628,628,629,617
24.48,628,629,630,630,618
24.52,631,632,632,633,621
24.56,633,634,634,635,623
24.6,635,635,636,637,625
24.64,635,635,636,636,625
24.68,635,635,636,636,624
24.72,635,635,636,637,624
24.76,632,632,633,634,622
24.8,632,633,633,634,622
24.84,632,632,633,633,622
24.88,630,631,631,632,621
24.92,632,632,633,633,622
24.96,632,633,633,634,623
25.0,633,634,634,635,624
25.04,633,633,634,635,624
25.08,632,632,633,634,623
25.12,630,631,631,632,621
25.16,631,632,632,633,622
25.2,630,630,631,631,620
25.24,631,631,631,632,621
25.28,630,631,631,632,621
25.32,630,630,631,631,621
25.36,630,630,630,631,620
25.4,630,630,631,631,620
25.44,630,631,631,632,620
25.48,630,630,631,631,620
25.52,629,629,630,630,619
25.56,628,629,630,630,619
25.6,628,628,629,629,618
25.64,627,627,628,628,617
25.68,627,628,628,629,618
25.72,627,628,628,628,617
25.76,627,628,628,628,618
25.8,627,627,628,628,617
25.84,627,627,628,628,617
25.88,628,628,629,629,618
25.92,628,629,629,629,619
25.96,629,630,630,631,620
26.0,630,630,631,631,620
26.04,630,630,631,631,621
26.08,630,630,631,631,620
26.12,629,629,629,630,619
26.16,629,629,630,630,619
26.2,630,630,630,631,620
26.24,630,630,630,631,620
26.28,630,630,631,631,621
26.32,630,630,630,631,620
26.36,629,630,630,631,620
26.4,630,630,631,631,620
26.44,630,630,631,632,620
26.48,630,630,631,631,621
26.52,629,629,630,631,620
26.56,627,628,628,629,618
26.6,627,627,628,629,617
26.64,626,626,627,628,616
26.68,625,626,626,627,616
26.72,622,623,623,624,613
26.76,619,620,621,621,610
26.8,619,619,620,620,610
26.84,618,619,619,620,609
26.88,620,620,621,621,610
26.92,621,622,622,622,612
26.96,621,622,623,623,612
27.0,623,623,624,624,613
27.04,624,624,625,625,614
27.08,625,625,626,626,615
27.12,625,626,626,626,615
27.16,628,628,629,629,618
27.2,629,629,629,630,619
27.24,628,628,629,629,618
27.28,628,628,628,629,618
27.32,628,628,628,629,618
27.36,628,628,629,629,619
27.4,629,629,629,630,619
27.44,629,629,629,630,619
27.48,628,628,629,629,618
27.52,627,628,628,629,618
27.56,627,628,628,629,617
27.6,626,627,627,628,617
27.64,625,626,626,626,615
27.68,625,626,626,626,616
27.72,625,626,626,627,616
27.76,624,625,625,626,615
27.8,623,624,624,625,614
27.84,623,624,624,625,614
27.88,624,624,625,625,614
27.92,624,624,624,625,614
27.96,623,624,624,625,614
28.0,624,624,625,625,615
28.04,624,625,625,625,615
28.08,624,625,625,625,615
28.12,624,625,625,626,615
28.16,624,625,625,625,615
28.2,625,625,625,626,615
28.24,625,625,625,626,615
28.28,625,626,626,627,616
28.32,625,626,626,627,616
28.36,625,626,626,627,615
28.4,626,626,627,627,616
28.44,626,626,627,627,616
28.48,627,628,628,629,617
28.52,628,628,629,629,618
28.56,627,628,628,629,618
28.6,629,629,630,630,619
28.64,629,630,630,631,619
28.68,629,629,630,631,619
28.72,629,629,630,631,619
28.76,629,630,630,631,619
28.8,629,630,630,631,619
28.84,630,630,631,631,620
28.88,630,630,631,631,620
28.92,630,631,631,632,621
28.96,631,631,632,632,621
29.0,631,632,632,633,622
29.04,631,632,632,633,622
29.08,631,632,632,633,622
29.12,631,632,632,633,622
29.16,632,632,633,633,622
29.2,632,632,633,634,622
29.24,632,632,633,633,622
29.28,631,632,632,633,622
29.32,631,632,632,633,621
29.36,631,631,632,632,621
29.4,629,630,630,631,619
29.44,628,628,629,629,618
29.48,627,628,628,629,618
29.52,627,628,628,629,617
29.56,628,629,629,630,618
29.6,629,629,629,630,619
29.64,628,629,629,630,619
29.68,628,629,629,630,619
29.72,628,629,629,630,618
29.76,627,628,628,629,618
29.8,627,627,628,628,617
29.84,626,627,627,628,616
29.88,625,626,626,627,615
29.92,623,624,625,625,614
29.96,623,624,624,624,613
30.0,622,623,624,624,613
30.04,622,623,623,623,613
30.08,622,623,623,623,613
30.12,621,622,622,622,612
30.16,621,622,622,622,611
30.2,619,620,620,620,609
30.24,616,616,617,616,605
30.28,612,613,613,613,602
30.32,611,611,612,611,601
30.36,611,612,612,612,602
30.4,614,615,615,615,604
30.44,619,620,620,620,609
30.48,622,623,623,624,612
30.52,624,625,625,625,613
30.56,626,627,627,628,615
30.6,628,629,629,630,618
30.64,629,630,630,631,619
30.68,633,633,634,635,623
30.72,634,635,635,636,625
30.76,635,636,636,637,626
30.8,632,633,633,634,623
30.84,629,629,630,630,620
30.88,626,627,627,628,617
30.92,624,624,625,625,614
30.96,622,622,623,623,612
31.0,621,622,622,623,612
31.04,620,621,621,621,611
31.08,620,621,621,621,611
31.12,620,621,621,621,611
31.16,620,621,621,621,610
31.2,620,621,621,622,611
31.24,620,621,621,622,610
31.28,619,620,620,620,609
31.32,618,619,620,620,608
31.36,618,619,619,620,608
31.4,618,619,619,619,608
31.44,619,619,620,620,610
31.48,620,621,622,622,611
31.52,620,621,621,622,611
31.56,620,621,621,621,611
31.6,619,620,620,620,611
31.64,619,620,620,620,610
31.68,618,619,619,619,609
31.72,617,617,618,618,608
31.76,615,616,616,616,606
31.8,616,617,617,617,606
31.84,617,618,619,619,608
31.88,619,620,620,621,609
31.92,620,621,621,622,610
31.96,621,622,623,623,612
32.0,622,623,623,623,613
32.04,623,624,624,625,614
32.08,623,624,625,625,614
32.12,623,624,624,625,614
